Date,SB,Attendance,Winner,QB  Winner,Coach Winner,Winning Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference,QB_player_jersey_no,Player_city,Player_state,Viewership_Rating,No_of_Tv_viewers
01/21/1999,XXXIII,74803,Denver Broncos,John Elway,Mike Shanahan,34,Atlanta Falcons,Chris Chandler,Dan Reeves,19,John Elway,Pro Player Stadium,Miami Gardens,Florida,15,#7,Port Angeles,Washington,40.2,83.72
01/25/1998,XXXII,68912,Denver Broncos,John Elway,Mike Shanahan,31,Green Bay Packers,Brett Favre,Mike Holmgren,24,Terrell Davis,Qualcomm Stadium,San Diego,California,7,#7,Port Angeles,Washington,44.5,90.00
01/26/1997,XXXI,72301,Green Bay Packers,Brett Favre,Mike Holmgren,35,New England Patriots,Drew Bledsoe,Bill Parcells,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,14,#4,Gulfport,Mississippi,43.3,87.87
01/29/1996,XXX,76347,Dallas Cowboys,Troy Aikman,Barry Switzer,27,Pittsburgh Steelers,Neil O'Donnell,Bill Cowher,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona,10,#8,West Covina,California,46.0,94.08
01/29/1995,XXIX,74107,San Francisco 49ers,Steve Young,George Seifert,49,San Diego Chargers,Stan Humphreys,Bobby Ross,26,Steve Young,Joe Robbie Stadium,Miami Gardens,Florida,23,#8,Salt Lake,Utah,41.3,83.42
01/30/1994,XXVIII,72817,Dallas Cowboys,Troy Aikman,Jimmy Johnson,30,Buffalo Bills,Jim Kelly,Marv Levy,13,Emmitt Smith,Georgia Dome,Atlanta,Georgia,17,#8,West Covina,California,45.5,90.00
01/31/1993,XXVII,98374,Dallas Cowboys,Troy Aikman,Jimmy Johnson,52,Buffalo Bills,"Jim Kelly, Frank Reich",Marv Levy,17,Troy Aikman,Rose Bowl,Pasadena,California,35,#8,West Covina,California,45.1,90.99
01/26/1992,XXVI,63130,Washington Redskins,Mark Rypien,Joe Gibbs,37,Buffalo Bills,Jim Kelly,Marv Levy,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13,#11,Calgary,Alberta,40.3,79.59
01/27/1991,XXV,73813,New York Giants,Jeff Hostetler,Bill Parcells,20,Buffalo Bills,Jim Kelly,Marv Levy,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1,#15,Hollsopple,Pennsylvania,41.9,79.51
01/28/1990,XXIV,72919,San Francisco 49ers,Joe Montana,George Seifert,55,Denver Broncos,John Elway,Dan Reeves,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45,#16,New Eagle,Pennsylvania,39.0,73.85
01/22/1989,XXIII,75129,San Francisco 49ers,Joe Montana,Bill Walsh,20,Cincinnati Bengals,Boomer Esiason,Sam Wyche,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4,#16,New Eagle,Pennsylvania,43.5,81.59
01/31/1988,XXII,73302,Washington Redskins,Doug Williams,Joe Gibbs,42,Denver Broncos,John Elway,Dan Reeves,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32,#17,Zachary,"Louisiana
",41.9,80.14
01/25/1987,XXI,101063,New York Giants,Phil Simms,Bill Parcells,39,Denver Broncos,John Elway,Dan Reeves,20,Phil Simms,Rose Bowl,Pasadena,California,19,#11,Springfield,Kentucky,45.8,87.19
01/26/1986,XX,73818,Chicago Bears,Jim McMahon,Mike Ditka,46,New England Patriots,"Tony Eason, Steve Grogan",Raymond Berry,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36,#9,Jersey,New Jersey,48.3,92.57
01/20/1985,XIX,84059,San Francisco 49ers,Joe Montano,Bill Walsh,38,Miami Dolphins,Dan Marino,Don Shula,16,Joe Montana,Stanford Stadium,Palo Alto,California,22,#16,New Eagle,Pennsylvania,46.4,85.53
01/22/1984,XVIII,72920,Los Angeles Raiders,Jim Plunkett,Tom Flores,38,Washington Redskins,Joe Theismann,Joe Gibbs,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29,#16,San Jose, California,46.4,77.62
01/30/1983,XVII,103667,Washington Redskins,Joe Theismann,Joe Gibbs,27,Miami Dolphins,David Woodley,Don Shula,17,John Riggins,Rose Bowl,Pasadena,California,10,#7,New Brunswick,New Jersey,48.6,81.77
01/24/1982,XVI,81270,San Francisco 49ers,Joe Montana,Bill Walsh,26,Cincinnati Bengals,Ken Anderson,Forrest Gregg,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5,#16,New Eagle,Pennsylvania,49.1,85.24
01/25/1981,XV,76135,Oakland Raiders,Jim Plunkett,Tom Flores,27,Philadelphia Eagles,Ron Jaworski,Dick Vermeil,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17,#16,San Jose, California,44.4,68.29
01/20/1980,XIV,103985,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,31,Los Angeles Rams,Vince Ferragamo,Ray Malavasi,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12,#12,Shreveport,"Louisiana
",46.3,76.24
1/21/1979,XIII,79484,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,35,Dallas Cowboys,Roger Staubach,Tom Landry,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4,#12,Shreveport,"Louisiana
",47.1,74.74
01/15/1978,XII,76400,Dallas Cowboys,Roger Staubach,Tom Landry,27,Denver Broncos,Craig Morton,Red Miller,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17,#12,Cincinnati,Ohio,47.2,78.94
01/09/1977,XI,103438,Oakland Raiders,Kenny Stabler,John Madden,32,Minnesota Vikings,Fran Tarkenton,Bud Grant,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18,#12,Foley,Alabama,44.4,62.05
01/18/1976,X,80187,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,21,Dallas Cowboys,Roger Staubach,Tom Landry,17,Lynn Swann,Orange Bowl,Miami,Florida,4,#12,Shreveport,"Louisiana
",42.3,57.71
01/12/1975,IX,80997,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,16,Minnesota Vikings,Fran Tarkenton,Bud Grant,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10,#12,Shreveport,"Louisiana
",42.4,56.05
01/13/1974,VIII,71882,Miami Dolphins,Bob Griese,Don Shula,24,Minnesota Vikings,Fran Tarkenton,Bud Grant,7,Larry Csonka,Rice Stadium,Houston,Texas,17,#12,Evansville,Indiana,41.6,51.70
01/14/1973,VII,90182,Miami Dolphins,Bob Griese,Don Shula,14,Washington Redskins,Bill Kilmer,George Allen,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7,#12,Evansville,Indiana,42.7,53.32
01/16/1972,VI,81023,Dallas Cowboys,Roger Staubach,Tom Landry,24,Miami Dolphins,Bob Griese,Don Shula,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21,#12,Cincinnati,Ohio,44.2,56.64
01/17/1971,V,79204,Baltimore Colts,"Earl Morrall , Johnny Unitas",Don McCafferty,16,Dallas Cowboys,Craig Morton,Tom Landry,13,Chuck Howley,Orange Bowl,Miami,Florida,3,#15,"Muskegon,Pittsburgh","Michigan,Pennsylvania",39.9,46.04
01/11/1970,IV,80562,Kansas City Chiefs,"Len Dawson, Mike Livingston",Hank Stram,23,Minnesota Vikings,Joe Kapp,Bud Grant,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16,#16,"Alliance,Dallas","Ohio, Texas",39.4,44.27
01/12/1969,III,75389,New York Jets,Joe Namath,Weeb Ewbank,16,Baltimore Colts,"Earl Morrall, Johnny Unitas",Don Shula,7,Joe Namath,Orange Bowl,Miami,Florida,9,#12,Beaver Falls,Pennsylvania,36.0,41.66
01/14/1968,II,75546,Green Bay Packers,Bart Starr,Vince Lombardi,33,Oakland Raiders,Daryle Lamonica,John Rauch,14,Bart Starr,Orange Bowl,Miami,Florida,19,#15,Montgomery,Alabama,36.8,39.12
01/15/1967,I,61946,Green Bay Packers,Bart Starr,Vince Lombardi,35,Kansas City Chiefs,Len Dawson,Hank Stram,10,Bart Starr,Memorial Coliseum,Los Angeles,California,25,#15,Montgomery,Alabama,22.6,26.75
