Date,SB,Attendance,Winner,QB  Winner,Coach Winner,Winning Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
2009-02-01,XLIII,70774,Pittsburgh Steelers,Ben Roethlisberger,Mike Tomlin,27,Arizona Cardinals,Kurt Warner,Ken Whisenhunt,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,4
2011-02-06,XLV,103219,Green Bay Packers,Aaron Rodgers,Mike McCarthy,31,Pittsburgh Steelers,Ben Roethlisberger,Mike Tomlin,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,6
1971-01-17,V,79204,Baltimore Colts,"Earl Morrall , Johnny Unitas",Don McCafferty,16,Dallas Cowboys,Craig Morton,Tom Landry,13,Chuck Howley,Orange Bowl,Miami,Florida,3
2020-02-02,LIV,62417,Kansas City Chiefs,Patrick Mahomes,Andy Reid,31,San Francisco 49ers,Jimmy Garoppolo,Kyle Shanahan,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida,11
1975-01-12,IX,80997,Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,16,Minnesota Vikings,Fran Tarkenton,Bud Grant,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10
1994-01-30,XXVIII,72817,Dallas Cowboys,Troy Aikman,Jimmy Johnson,30,Buffalo Bills,Jim Kelly,Marv Levy,13,Emmitt Smith,Georgia Dome,Atlanta,Georgia,17
2002-02-03,XXXVI,72922,New England Patriots,Tom Brady,Bill Belichick,20,St. Louis Rams,Kurt Warner,Mike Martz,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana,3
2017-02-05,LI,70807,New England Patriots,Tom Brady,Bill Belichick,34,Atlanta Falcons,Matt Ryan,Dan Quinn,28,Tom Brady,NRG Stadium,Houston,Texas,6
1970-01-11,IV,80562,Kansas City Chiefs,"Len Dawson, Mike Livingston",Hank Stram,23,Minnesota Vikings,Joe Kapp,Bud Grant,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16
1993-01-31,XXVII,98374,Dallas Cowboys,Troy Aikman,Jimmy Johnson,52,Buffalo Bills,"Jim Kelly, Frank Reich",Marv Levy,17,Troy Aikman,Rose Bowl,Pasadena,California,35
1999-01-31,XXXIII,74803,Denver Broncos,John Elway,Mike Shanahan,34,Atlanta Falcons,Chris Chandler,Dan Reeves,19,John Elway,Pro Player Stadium,Miami Gardens,Florida,15
2018-02-04,LII,67612,Philadelphia Eagles,Nick Foles,Doug Pederson,41,New England Patriots,Tom Brady,Bill Belichick,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota,8
